CATCHER_ID,GAME_YEAR,Opportunities,Actual_Called_Strikes,Called_Strikes_Added,Called_Strikes_Added_Per_100
13,2021,4229,1371,7,0.167
13,2022,5104,1631,-13,-0.246
13,2023,5488,1803,27,0.498
41,2021,3923,1248,5,0.129
41,2022,7349,2377,5,0.067
41,2023,4625,1478,5,0.111
137,2021,571,185,1,0.231
137,2022,1202,404,17,1.392
137,2023,328,109,2,0.749
141,2022,932,281,-9,-0.964
141,2023,5228,1630,4,0.083
151,2021,3503,1143,34,0.965
151,2022,7021,2310,44,0.627
151,2023,3404,1050,-59,-1.736
153,2021,4303,1388,2,0.038
153,2022,4188,1343,5,0.118
153,2023,4860,1558,2,0.038
160,2021,767,242,6,0.718
166,2021,2733,869,-17,-0.614
166,2022,7139,2232,-50,-0.705
166,2023,8382,2766,68,0.809
185,2021,227,65,-5,-2.366
195,2021,6306,1907,-122,-1.93
195,2022,6399,2067,24,0.379
195,2023,5127,1760,108,2.098
211,2021,5350,1698,59,1.099
211,2022,3370,1051,1,0.039
211,2023,6340,1908,-71,-1.121
217,2021,7580,2459,36,0.475
217,2022,8571,2663,-72,-0.837
217,2023,7443,2379,47,0.636
270,2021,175,39,-14,-8.033
277,2022,112,39,4,3.271
277,2023,4421,1353,-16,-0.36
279,2021,176,50,-6,-3.133
294,2021,6164,1982,12,0.192
294,2022,6480,2109,30,0.463
294,2023,3161,986,-26,-0.81
309,2021,6801,2122,67,0.988
309,2022,7454,2193,-72,-0.967
309,2023,8902,2726,-15,-0.164
316,2022,95,29,0,0.006
316,2023,8034,2436,-14,-0.169
326,2021,3512,1181,31,0.892
326,2022,1897,637,13,0.66
326,2023,829,254,-20,-2.411
344,2021,1795,544,8,0.437
344,2022,4513,1350,-21,-0.475
348,2021,9321,2792,-43,-0.461
348,2022,5737,1736,-5,-0.094
348,2023,6596,2006,27,0.403
357,2021,170,46,-7,-4.336
373,2021,9026,2858,95,1.052
373,2022,7605,2398,53,0.702
373,2023,8530,2491,-157,-1.836
413,2021,15,5,0,3.051
458,2022,9,5,2,25.11
473,2021,4268,1340,36,0.849
473,2022,1098,305,-40,-3.637
477,2023,1148,323,-28,-2.476
516,2021,3089,1016,13,0.405
516,2022,6257,2061,34,0.548
516,2023,1448,449,-22,-1.485
526,2021,5393,1722,42,0.776
526,2022,7738,2408,-14,-0.178
526,2023,8259,2591,-25,-0.306
528,2021,804,252,-5,-0.625
528,2022,499,160,5,1.04
554,2021,2813,873,-1,-0.031
554,2022,1531,474,-2,-0.13
555,2021,6902,2180,-17,-0.244
555,2022,3761,1200,7,0.198
555,2023,4043,1294,18,0.445
564,2021,271,79,-6,-2.195
588,2021,7544,2262,-80,-1.065
588,2022,6013,1930,64,1.068
588,2023,4875,1516,13,0.259
589,2023,3647,1140,-3,-0.078
610,2022,1997,625,0,-0.009
610,2023,334,105,2,0.719
617,2021,11,3,0,-1.589
618,2021,147,44,0,-0.217
627,2021,1901,559,-21,-1.121
665,2021,8364,2662,52,0.622
665,2022,5501,1716,-31,-0.569
665,2023,7015,2207,-11,-0.159
671,2021,613,172,-23,-3.733
671,2022,2496,777,10,0.415
671,2023,2426,758,9,0.365
672,2021,361,125,15,4.039
672,2022,2135,631,-23,-1.081
680,2023,725,212,-8,-1.122
706,2021,5365,1672,6,0.11
706,2022,868,257,-10,-1.121
712,2021,1387,393,-20,-1.471
712,2022,268,77,-4,-1.482
722,2022,509,161,0,0.096
722,2023,1885,561,-7,-0.365
752,2021,7034,2299,17,0.238
752,2022,6297,2053,16,0.253
752,2023,4349,1386,-9,-0.201
755,2021,5439,1636,-1,-0.015
755,2022,4661,1387,-28,-0.61
755,2023,6411,1967,15,0.234
779,2021,11,4,0,2.319
794,2021,563,174,-3,-0.456
831,2021,2467,755,-9,-0.373
876,2021,5176,1571,-11,-0.221
876,2022,3055,932,-3,-0.092
905,2022,318,89,-6,-1.815
905,2023,3968,1155,-28,-0.699
919,2021,1930,598,-1,-0.029
931,2021,1907,621,24,1.241
931,2022,2849,892,-22,-0.755
953,2022,521,155,-9,-1.727
953,2023,834,284,20,2.455
985,2021,4059,1289,13,0.327
985,2022,4545,1440,-13,-0.296
985,2023,402,125,-1,-0.14
986,2022,1401,441,9,0.661
986,2023,202,50,-14,-6.747
1006,2021,10,5,2,17.947
1011,2021,8369,2646,-57,-0.685
1011,2022,9560,3067,30,0.317
1011,2023,9769,3159,38,0.394
1017,2021,6138,1922,21,0.344
1017,2022,796,235,-19,-2.341
1017,2023,2569,808,-8,-0.298
1029,2023,2455,708,-32,-1.284
1038,2021,8207,2755,80,0.969
1038,2022,7510,2457,3,0.039
1038,2023,7830,2497,-63,-0.799
1047,2022,1285,388,-9,-0.721
1047,2023,7194,2229,6,0.082
1075,2023,1951,611,4,0.204
1078,2021,7155,2391,24,0.338
1109,2021,3811,1229,33,0.875
1109,2022,1161,367,-2,-0.157
1109,2023,1908,602,-17,-0.887
1113,2021,581,207,30,5.079
1113,2022,4119,1196,-57,-1.381
1113,2023,4477,1359,5,0.114
1115,2021,1764,526,2,0.141
1115,2022,8041,2463,22,0.274
1115,2023,9421,2786,-49,-0.521
1134,2023,370,114,-1,-0.199
1142,2022,1184,366,14,1.149
1142,2023,9736,2858,-42,-0.435
1149,2021,1923,582,-15,-0.805
1149,2022,173,54,1,0.462
1167,2021,2678,833,-41,-1.545
1167,2023,6854,2269,63,0.922
1183,2021,3451,1191,23,0.681
1183,2022,3684,1253,15,0.419
1183,2023,3607,1210,4,0.104
